OCCUR_DATE,BORO,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
12/17/2021,MANHATTAN,FALSE,25-44,M,BLACK HISPANIC,40.86745882,-73.92571668
12/17/2021,MANHATTAN,TRUE,18-24,M,BLACK HISPANIC,40.86745882,-73.92571668
12/17/2021,MANHATTAN,FALSE,18-24,M,BLACK HISPANIC,40.86745882,-73.92571668
12/16/2021,BRONX,FALSE,25-44,F,BLACK,40.81461223,-73.91395502
12/16/2021,BRONX,FALSE,25-44,M,BLACK,40.83655923,-73.91427357
12/16/2021,MANHATTAN,TRUE,18-24,M,BLACK HISPANIC,40.82871989,-73.94506648
12/16/2021,QUEENS,FALSE,25-44,M,WHITE,40.75361902,-73.90392399
12/16/2021,QUEENS,FALSE,25-44,M,WHITE,40.75361902,-73.90392399
12/16/2021,STATEN ISLAND,TRUE,25-44,M,WHITE,40.5641002,-74.18213844
12/15/2021,QUEENS,FALSE,25-44,M,BLACK,40.73717073,-73.86404888
12/15/2021,QUEENS,TRUE,25-44,M,BLACK,40.73717073,-73.86404888
12/14/2021,BROOKLYN,TRUE,18-24,M,ASIAN / PACIFIC ISLANDER,40.65325939,-73.9593924
12/14/2021,MANHATTAN,FALSE,25-44,M,BLACK,40.79749403,-73.96958703
12/14/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.67473288,-73.90524173
12/13/2021,QUEENS,TRUE,25-44,M,BLACK,40.68921806,-73.79144857
12/12/2021,QUEENS,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,40.76878352,-73.91046181
12/12/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.67755384,-73.91128371
12/12/2021,BROOKLYN,TRUE,25-44,M,BLACK,40.68335109,-73.9116654
12/12/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.66644862,-73.95360974
12/12/2021,QUEENS,FALSE,25-44,F,BLACK,40.69674938,-73.76291369
12/12/2021,BRONX,FALSE,25-44,M,BLACK,40.82906028,-73.92143424
12/12/2021,BRONX,FALSE,25-44,M,BLACK HISPANIC,40.83969393,-73.91838229
12/12/2021,BROOKLYN,FALSE,18-24,M,WHITE HISPANIC,40.6736139,-73.93899359
12/11/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.65969099,-73.90138489
12/11/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.69579172,-73.93909591
12/11/2021,BROOKLYN,FALSE,<18,M,BLACK,40.57287977,-73.99973147
12/11/2021,BROOKLYN,FALSE,25-44,M,BLACK,40.70136745,-73.98285241
12/11/2021,BROOKLYN,FALSE,45-64,M,BLACK,40.57287977,-73.99973147
12/11/2021,BRONX,TRUE,25-44,M,BLACK HISPANIC,40.83644685,-73.9040176
